name,price,brand,prod_url,img_url
Smith Holt 2 Helmet,"379,95",Smith,/de-DE/product/Smith-Holt+2+Helm-369334/,//images.blue-tomato.com/is/image/bluetomato/304342638_front.jpg-Kewc83ygrFp6LhPYl1E-m6BJ-Hw/Burton+Ruler+Boa+2021+Snowboardboots.jpg?$b1$
Union Expedition Splitboard Bindings 2021,"499,95",Union,/de-DE/product/Union-Expedition+Splitboard+Bindung+2021-618614/,//images.blue-tomato.com/is/image/bluetomato/304345836_front.jpg-MZ1fqNRSboteE_ehQdk0FQn06kQ/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$
Jones Snowboards Apollo Snowboard Bindings 2021,"249,95",Jones Snowboards,/de-DE/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/,//images.blue-tomato.com/is/image/bluetomato/304272133_front.jpg-4EWZku82T7yBmpmNovdCOpiKl0g/DEELUXE+Team+ID+PF+2021+Snowboardboots.jpg?$b1$
Nitro Rival TLS 2021,"349,95",Nitro,/de-DE/product/Nitro-Rival+TLS+2021+Snowboardboots-620658/,//images.blue-tomato.com/is/image/bluetomato/304342561_front.jpg-tqT28LhxT51vtVFmU8U8k6epe0Q/Burton+Ion+Boa+2021+Snowboardboots.jpg?$b1$
Jones Snowboards Mercury Snowboard Bindings 2021,"339,95",Jones Snowboards,/de-DE/product/Jones+Snowboards-Mercury+Snowboard+Bindung+2021-629275/?colid=surf+series,//images.blue-tomato.com/is/image/bluetomato/303924730_front.jpg-qAirhTxj79KqE6lzER0HGcg-knw/Anon+Raider+3+Helm.jpg?$b1$
Union Falcor 2021,"319,95",Union,/de-DE/product/Union-Falcor+2021+Snowboardbindung-618608/,//images.blue-tomato.com/is/image/bluetomato/304358716_front.jpg-WQfH8RmsJ6CppXXGVGTDkZFGkz8/Ride+Hera+2021+Snowboardboots.jpg?$b1$
Burton Ruler Boa 2021,"499,95",Burton,/de-DE/product/Burton-Ruler+Boa+2021+Snowboardboots-622769/?colid=blue,//images.blue-tomato.com/is/image/bluetomato/304372979_front.jpg-mT-5r5rdc_RJZyja5ifTn7VaT5c/Lib+Tech+Travis+Rice+Orca+153+2021+Snowboard.jpg?$b1$
Nitro Team Wide 162 2021,"279,95",Nitro,/de-DE/product/Nitro-Team+Wide+162+2021+Snowboard-620520/,//images.blue-tomato.com/is/image/bluetomato/303921612_front.jpg-lAB-DkPowcQ4n8j2nQqUIUSQbUo/Burton+Limelight+BOA+Snowboard+Boots.jpg?$b1$
DEELUXE Team ID PF 2021,"129,95",DEELUXE,/de-DE/product/DEELUXE-Team+ID+PF+2021+Snowboardboots-615582/,//images.blue-tomato.com/is/image/bluetomato/303513738_front.jpg-u2Q7OzT9mc5FMFj-ByzibbLAOSo/Burton+Malavita+Snowboard+Bindung.jpg?$b1$
Quiksilver QSRC Quiet Shade,"79,95",Quiksilver,/de-DE/product/Quiksilver-QSRC+Quiet+Shade+Goggle-615986/,//images.blue-tomato.com/is/image/bluetomato/303920013_front.jpg-2WJVOocZjyJm_Qx6Ebn8nq7JTPw/Burton+Limelight+2020+Snowboardboots.jpg?$b1$
